tree_id,trunk_diam,status,health,spc_common,neighborhood
379810,2,Alive,Good,Japanese zelkova,Pelham Bay-Country Club-City Island
490979,4,Alive,Good,cherry,Glendale
142384,3,Alive,Fair,London planetree,Park Slope-Gowanus
247663,14,Alive,Good,honeylocust,Central Harlem South
172424,16,Alive,Good,green ash,Lower East Side
69795,3,Alive,Good,Sophora,Oakwood-Oakwood Beach
531287,14,Alive,Good,London planetree,Arden Heights
368579,4,Alive,Good,Japanese zelkova,Westchester-Unionport
42174,9,Alive,Good,'Schubert' chokecherry,Park Slope-Gowanus
228806,12,Alive,Good,sugar maple,Bellerose
459116,6,Alive,Good,maple,East New York (Pennsylvania Ave)
153073,10,Alive,Good,honeylocust,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan
203299,15,Alive,Good,honeylocust,Astoria
327145,3,Alive,Good,honeylocust,Bushwick North
682302,6,Alive,Good,American linden,Crown Heights North
239888,11,Alive,Fair,American linden,MN12
